,,,,MB-clonallines-nla-karyo-plate2c5_124,MB-clonallines-nla-karyo-plate2c5_130,MB-clonallines-nla-karyo-plate2c5_132,MB-clonallines-nla-karyo-plate2c5_120,MB-clonallines-nla-karyo-plate2c5_122,MB-clonallines-nla-karyo-plate2c5_128,MB-clonallines-nla-karyo-plate2c5_134,MB-clonallines-nla-karyo-plate2c5_126,MB-clonallines-nla-karyo-plate2c5_111,MB-clonallines-nla-karyo-plate2c5_75,MB-clonallines-nla-karyo-plate2c5_109,MB-clonallines-nla-karyo-plate2c5_99,MB-clonallines-nla-karyo-plate2c5_103,MB-clonallines-nla-karyo-plate2c5_32,MB-clonallines-nla-karyo-plate2c5_105,MB-clonallines-nla-karyo-plate2c5_101,MB-clonallines-nla-karyo-plate2c5_125,MB-clonallines-nla-karyo-plate2c5_107,MB-clonallines-nla-karyo-plate2c5_38,MB-clonallines-nla-karyo-plate2c5_131,MB-clonallines-nla-karyo-plate2c5_56,MB-clonallines-nla-karyo-plate2c5_97,MB-clonallines-nla-karyo-plate2c5_74,MB-clonallines-nla-karyo-plate2c5_58,MB-clonallines-nla-karyo-plate2c5_121,MB-clonallines-nla-karyo-plate2c5_54,MB-clonallines-nla-karyo-plate2c5_168,MB-clonallines-nla-karyo-plate2c5_133,MB-clonallines-nla-karyo-plate2c5_148,MB-clonallines-nla-karyo-plate2c5_8,MB-clonallines-nla-karyo-plate2c5_158,MB-clonallines-nla-karyo-plate2c5_170,MB-clonallines-nla-karyo-plate2c5_50,MB-clonallines-nla-karyo-plate2c5_73,MB-clonallines-nla-karyo-plate2c5_80,MB-clonallines-nla-karyo-plate2c5_156,MB-clonallines-nla-karyo-plate2c5_26,MB-clonallines-nla-karyo-plate2c5_108,MB-clonallines-nla-karyo-plate2c5_48,MB-clonallines-nla-karyo-plate2c5_33,MB-clonallines-nla-karyo-plate2c5_28,MB-clonallines-nla-karyo-plate2c5_24,MB-clonallines-nla-karyo-plate2c5_127,MB-clonallines-nla-karyo-plate2c5_76,MB-clonallines-nla-karyo-plate2c5_1,MB-clonallines-nla-karyo-plate2c5_144,MB-clonallines-nla-karyo-plate2c5_135,MB-clonallines-nla-karyo-plate2c5_29,MB-clonallines-nla-karyo-plate2c5_79,MB-clonallines-nla-karyo-plate2c5_78,MB-clonallines-nla-karyo-plate2c5_146,MB-clonallines-nla-karyo-plate2c5_6,MB-clonallines-nla-karyo-plate2c5_35,MB-clonallines-nla-karyo-plate2c5_172,MB-clonallines-nla-karyo-plate2c5_96,MB-clonallines-nla-karyo-plate2c5_163,MB-clonallines-nla-karyo-plate2c5_77,MB-clonallines-nla-karyo-plate2c5_30,MB-clonallines-nla-karyo-plate2c5_5,MB-clonallines-nla-karyo-plate2c5_102,MB-clonallines-nla-karyo-plate2c5_9,MB-clonallines-nla-karyo-plate2c5_123,MB-clonallines-nla-karyo-plate2c5_84,MB-clonallines-nla-karyo-plate2c5_12,MB-clonallines-nla-karyo-plate2c5_52,MB-clonallines-nla-karyo-plate2c5_7,MB-clonallines-nla-karyo-plate2c5_31,MB-clonallines-nla-karyo-plate2c5_154,MB-clonallines-nla-karyo-plate2c5_152,MB-clonallines-nla-karyo-plate2c5_34,MB-clonallines-nla-karyo-plate2c5_150,MB-clonallines-nla-karyo-plate2c5_36,MB-clonallines-nla-karyo-plate2c5_14,MB-clonallines-nla-karyo-plate2c5_157,MB-clonallines-nla-karyo-plate2c5_39,MB-clonallines-nla-karyo-plate2c5_159,MB-clonallines-nla-karyo-plate2c5_206,MB-clonallines-nla-karyo-plate2c5_87,MB-clonallines-nla-karyo-plate2c5_104,MB-clonallines-nla-karyo-plate2c5_230,MB-clonallines-nla-karyo-plate2c5_82,MB-clonallines-nla-karyo-plate2c5_2,MB-clonallines-nla-karyo-plate2c5_155,MB-clonallines-nla-karyo-plate2c5_13,MB-clonallines-nla-karyo-plate2c5_137,MB-clonallines-nla-karyo-plate2c5_145,MB-clonallines-nla-karyo-plate2c5_85,MB-clonallines-nla-karyo-plate2c5_106,MB-clonallines-nla-karyo-plate2c5_313,MB-clonallines-nla-karyo-plate2c5_129,MB-clonallines-nla-karyo-plate2c5_86,MB-clonallines-nla-karyo-plate2c5_98,MB-clonallines-nla-karyo-plate2c5_15,MB-clonallines-nla-karyo-plate2c5_19,MB-clonallines-nla-karyo-plate2c5_83,MB-clonallines-nla-karyo-plate2c5_10,MB-clonallines-nla-karyo-plate2c5_37,MB-clonallines-nla-karyo-plate2c5_20,MB-clonallines-nla-karyo-plate2c5_153,MB-clonallines-nla-karyo-plate2c5_110,MB-clonallines-nla-karyo-plate2c5_16,MB-clonallines-nla-karyo-plate2c5_21,MB-clonallines-nla-karyo-plate2c5_3
None,13,72500000,72750000,28.0,54.0,69.0,48.0,50.0,52.0,45.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,72750000,73000000,32.0,48.0,82.0,68.0,55.0,80.0,78.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,73000000,73250000,36.0,86.0,91.0,74.0,47.0,59.0,57.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,73250000,73500000,6.0,6.0,6.0,4.0,8.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,73250000,73500000,38.0,58.0,101.0,61.0,72.0,64.0,62.0,24.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,73500000,73750000,27.0,98.0,91.0,69.0,75.0,64.0,44.0,41.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,73750000,74000000,47.0,81.0,90.0,75.0,68.0,56.0,61.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,74000000,74250000,41.0,72.0,92.0,40.0,75.0,71.0,67.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,13,74000000,74250000,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,74250000,74500000,20.0,64.0,59.0,42.0,67.0,39.0,51.0,18.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,74250000,74500000,2.0,10.0,8.0,10.0,8.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,74500000,74750000,12.0,24.0,20.0,18.0,22.0,38.0,26.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,74750000,75000000,15.0,38.0,45.0,30.0,34.0,34.0,49.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,74750000,75000000,2.0,12.0,10.0,16.0,14.0,,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,75000000,75250000,37.0,52.0,44.0,47.0,42.0,27.0,57.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,75250000,75500000,30.0,56.0,58.0,59.0,43.0,42.0,38.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,75500000,75750000,25.0,64.0,46.0,46.0,29.0,34.0,42.0,32.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,75500000,75750000,4.0,14.0,8.0,12.0,6.0,4.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,75750000,76000000,16.0,32.0,28.0,19.0,36.0,25.0,24.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,75750000,76000000,12.0,38.0,44.0,24.0,35.0,34.0,32.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,76000000,76250000,24.0,44.0,26.0,24.0,30.0,20.0,40.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,76000000,76250000,8.0,21.0,17.0,15.0,23.0,20.0,14.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,76250000,76500000,6.0,20.0,19.0,18.0,26.0,9.0,17.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,76250000,76500000,10.0,33.0,36.0,18.0,17.0,20.0,16.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,76500000,76750000,10.0,34.0,34.0,24.0,40.0,25.0,28.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,76500000,76750000,4.0,26.0,14.0,31.0,33.0,25.0,16.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,76750000,77000000,18.0,29.0,26.0,20.0,33.0,19.0,54.0,4.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,76750000,77000000,14.0,26.0,34.0,14.0,16.0,12.0,24.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,77000000,77250000,12.0,28.0,31.0,8.0,15.0,11.0,20.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,77000000,77250000,14.0,36.0,48.0,22.0,30.0,16.0,26.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,77250000,77500000,22.0,37.0,34.0,32.0,25.0,18.0,21.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,77250000,77500000,6.0,16.0,20.0,12.0,12.0,20.0,12.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,77500000,77750000,22.0,28.0,51.0,35.0,32.0,40.0,29.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,77750000,78000000,28.0,67.0,63.0,35.0,53.0,43.0,42.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,78000000,78250000,16.0,34.0,40.0,31.0,58.0,39.0,38.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,78000000,78250000,2.0,6.0,8.0,4.0,6.0,6.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,78250000,78500000,22.0,49.0,52.0,23.0,50.0,34.0,18.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,78250000,78500000,2.0,2.0,4.0,2.0,,6.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,78500000,78750000,24.0,50.0,49.0,32.0,34.0,18.0,53.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,78500000,78750000,2.0,16.0,6.0,,8.0,10.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,78750000,79000000,8.0,16.0,24.0,8.0,14.0,16.0,22.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,78750000,79000000,10.0,29.0,50.0,22.0,38.0,27.0,26.0,10.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,79000000,79250000,29.0,46.0,54.0,47.0,38.0,28.0,37.0,27.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,79250000,79500000,18.0,49.0,48.0,45.0,38.0,30.0,44.0,33.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,79500000,79750000,10.0,52.0,56.0,42.0,42.0,46.0,24.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,79750000,80000000,27.0,32.0,36.0,30.0,20.0,18.0,30.0,16.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,79750000,80000000,6.0,10.0,12.0,12.0,6.0,8.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,80000000,80250000,8.0,18.0,12.0,8.0,20.0,8.0,16.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,80000000,80250000,16.0,23.0,22.0,17.0,37.0,22.0,22.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,80250000,80500000,22.0,30.0,28.0,26.0,32.0,26.0,34.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,80250000,80500000,2.0,8.0,21.0,18.0,18.0,2.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,80500000,80750000,25.0,60.0,42.0,35.0,50.0,32.0,25.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,80500000,80750000,2.0,4.0,2.0,2.0,4.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,80750000,81000000,43.0,54.0,44.0,71.0,57.0,33.0,53.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,80750000,81000000,2.0,8.0,8.0,18.0,6.0,10.0,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,81000000,81250000,46.0,82.0,75.0,56.0,60.0,58.0,64.0,29.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,81250000,81500000,30.0,79.0,87.0,56.0,81.0,78.0,62.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,81500000,81750000,19.0,51.0,70.0,47.0,74.0,51.0,46.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,81750000,82000000,38.0,41.0,60.0,35.0,43.0,45.0,50.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,81750000,82000000,6.0,18.0,14.0,2.0,2.0,2.0,14.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,82000000,82250000,25.0,73.0,62.0,39.0,53.0,30.0,50.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,82250000,82500000,12.0,54.0,38.0,32.0,43.0,33.0,24.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,82250000,82500000,2.0,4.0,12.0,10.0,8.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,82500000,82750000,7.0,48.0,45.0,40.0,34.0,44.0,32.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,82750000,83000000,32.0,22.0,26.0,27.0,34.0,22.0,32.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,82750000,83000000,6.0,16.0,10.0,6.0,6.0,26.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,83000000,83250000,18.0,38.0,62.0,53.0,53.0,35.0,44.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,83000000,83250000,12.0,6.0,16.0,8.0,6.0,12.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,83250000,83500000,24.0,50.0,64.0,48.0,53.0,36.0,46.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,83500000,83750000,20.0,59.0,74.0,35.0,61.0,34.0,52.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,83500000,83750000,6.0,14.0,8.0,4.0,12.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,83750000,84000000,26.0,63.0,43.0,46.0,52.0,36.0,48.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,84000000,84250000,23.0,40.0,59.0,27.0,40.0,24.0,38.0,23.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,13,84000000,84250000,4.0,2.0,12.0,2.0,8.0,4.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,84250000,84500000,41.0,63.0,33.0,31.0,63.0,34.0,32.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,84500000,84750000,26.0,55.0,55.0,22.0,58.0,34.0,47.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,84750000,85000000,24.0,36.0,64.0,36.0,52.0,35.0,39.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,85000000,85250000,30.0,52.0,36.0,35.0,51.0,35.0,40.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,85250000,85500000,26.0,66.0,64.0,40.0,46.0,39.0,65.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,85500000,85750000,28.0,55.0,50.0,43.0,54.0,36.0,40.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,13,85750000,86000000,17.0,32.0,25.0,23.0,49.0,32.0,24.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
