,,,,MB-clonallines-nla-karyo-plate2c6_131,MB-clonallines-nla-karyo-plate2c6_129,MB-clonallines-nla-karyo-plate2c6_135,MB-clonallines-nla-karyo-plate2c6_127,MB-clonallines-nla-karyo-plate2c6_121,MB-clonallines-nla-karyo-plate2c6_125,MB-clonallines-nla-karyo-plate2c6_133,MB-clonallines-nla-karyo-plate2c6_123,MB-clonallines-nla-karyo-plate2c6_228,MB-clonallines-nla-karyo-plate2c6_75,MB-clonallines-nla-karyo-plate2c6_106,MB-clonallines-nla-karyo-plate2c6_38,MB-clonallines-nla-karyo-plate2c6_254,MB-clonallines-nla-karyo-plate2c6_26,MB-clonallines-nla-karyo-plate2c6_73,MB-clonallines-nla-karyo-plate2c6_99,MB-clonallines-nla-karyo-plate2c6_77,MB-clonallines-nla-karyo-plate2c6_252,MB-clonallines-nla-karyo-plate2c6_102,MB-clonallines-nla-karyo-plate2c6_108,MB-clonallines-nla-karyo-plate2c6_145,MB-clonallines-nla-karyo-plate2c6_104,MB-clonallines-nla-karyo-plate2c6_166,MB-clonallines-nla-karyo-plate2c6_245,MB-clonallines-nla-karyo-plate2c6_230,MB-clonallines-nla-karyo-plate2c6_96,MB-clonallines-nla-karyo-plate2c6_132,MB-clonallines-nla-karyo-plate2c6_155,MB-clonallines-nla-karyo-plate2c6_182,MB-clonallines-nla-karyo-plate2c6_103,MB-clonallines-nla-karyo-plate2c6_109,MB-clonallines-nla-karyo-plate2c6_74,MB-clonallines-nla-karyo-plate2c6_83,MB-clonallines-nla-karyo-plate2c6_149,MB-clonallines-nla-karyo-plate2c6_120,MB-clonallines-nla-karyo-plate2c6_130,MB-clonallines-nla-karyo-plate2c6_159,MB-clonallines-nla-karyo-plate2c6_12,MB-clonallines-nla-karyo-plate2c6_134,MB-clonallines-nla-karyo-plate2c6_97,MB-clonallines-nla-karyo-plate2c6_81,MB-clonallines-nla-karyo-plate2c6_126,MB-clonallines-nla-karyo-plate2c6_147,MB-clonallines-nla-karyo-plate2c6_76,MB-clonallines-nla-karyo-plate2c6_79,MB-clonallines-nla-karyo-plate2c6_36,MB-clonallines-nla-karyo-plate2c6_111,MB-clonallines-nla-karyo-plate2c6_157,MB-clonallines-nla-karyo-plate2c6_98,MB-clonallines-nla-karyo-plate2c6_101,MB-clonallines-nla-karyo-plate2c6_58,MB-clonallines-nla-karyo-plate2c6_56,MB-clonallines-nla-karyo-plate2c6_87,MB-clonallines-nla-karyo-plate2c6_34,MB-clonallines-nla-karyo-plate2c6_151,MB-clonallines-nla-karyo-plate2c6_100,MB-clonallines-nla-karyo-plate2c6_110,MB-clonallines-nla-karyo-plate2c6_37,MB-clonallines-nla-karyo-plate2c6_15,MB-clonallines-nla-karyo-plate2c6_122,MB-clonallines-nla-karyo-plate2c6_168,MB-clonallines-nla-karyo-plate2c6_5,MB-clonallines-nla-karyo-plate2c6_24,MB-clonallines-nla-karyo-plate2c6_1,MB-clonallines-nla-karyo-plate2c6_153,MB-clonallines-nla-karyo-plate2c6_154,MB-clonallines-nla-karyo-plate2c6_82,MB-clonallines-nla-karyo-plate2c6_3,MB-clonallines-nla-karyo-plate2c6_85,MB-clonallines-nla-karyo-plate2c6_9,MB-clonallines-nla-karyo-plate2c6_10,MB-clonallines-nla-karyo-plate2c6_128,MB-clonallines-nla-karyo-plate2c6_105,MB-clonallines-nla-karyo-plate2c6_28,MB-clonallines-nla-karyo-plate2c6_144,MB-clonallines-nla-karyo-plate2c6_52,MB-clonallines-nla-karyo-plate2c6_54,MB-clonallines-nla-karyo-plate2c6_78,MB-clonallines-nla-karyo-plate2c6_13,MB-clonallines-nla-karyo-plate2c6_11,MB-clonallines-nla-karyo-plate2c6_50,MB-clonallines-nla-karyo-plate2c6_32,MB-clonallines-nla-karyo-plate2c6_30,MB-clonallines-nla-karyo-plate2c6_124,MB-clonallines-nla-karyo-plate2c6_80,MB-clonallines-nla-karyo-plate2c6_146,MB-clonallines-nla-karyo-plate2c6_14,MB-clonallines-nla-karyo-plate2c6_8,MB-clonallines-nla-karyo-plate2c6_2,MB-clonallines-nla-karyo-plate2c6_150,MB-clonallines-nla-karyo-plate2c6_170,MB-clonallines-nla-karyo-plate2c6_48,MB-clonallines-nla-karyo-plate2c6_35
None,14,75250000,75500000,116.0,5.0,49.0,101.0,38.0,63.0,90.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,75250000,75500000,2.0,,,2.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,14,75250000,75500000,2.0,,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,75500000,75750000,95.0,6.0,45.0,79.0,75.0,54.0,81.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,14,75500000,75750000,12.0,,6.0,6.0,6.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,75500000,75750000,14.0,,4.0,8.0,12.0,14.0,12.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,75750000,76000000,26.0,,11.0,16.0,10.0,16.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,75750000,76000000,65.0,13.0,50.0,82.0,46.0,87.0,85.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,14,75750000,76000000,4.0,8.0,4.0,6.0,6.0,6.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,76000000,76250000,127.0,31.0,71.0,93.0,65.0,104.0,96.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,76000000,76250000,6.0,6.0,2.0,8.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,14,76000000,76250000,6.0,,6.0,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,76250000,76500000,148.0,31.0,37.0,80.0,55.0,66.0,73.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,76250000,76500000,12.0,,4.0,14.0,12.0,8.0,14.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,14,76250000,76500000,8.0,,,4.0,8.0,12.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,76500000,76750000,80.0,16.0,26.0,67.0,39.0,59.0,52.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,14,76500000,76750000,6.0,,6.0,2.0,,6.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,76500000,76750000,52.0,10.0,18.0,34.0,34.0,26.0,32.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,76750000,77000000,56.0,2.0,20.0,30.0,22.0,24.0,40.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,76750000,77000000,83.0,26.0,46.0,75.0,34.0,54.0,97.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,77000000,77250000,71.0,7.0,30.0,40.0,44.0,33.0,52.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,77000000,77250000,54.0,14.0,18.0,44.0,28.0,24.0,30.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,77250000,77500000,142.0,8.0,52.0,106.0,59.0,75.0,106.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,77500000,77750000,98.0,25.0,39.0,84.0,37.0,67.0,55.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,77500000,77750000,36.0,6.0,16.0,30.0,20.0,28.0,24.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,77750000,78000000,79.0,17.0,56.0,98.0,40.0,71.0,70.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,77750000,78000000,41.0,4.0,6.0,32.0,4.0,8.0,12.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,78000000,78250000,84.0,13.0,67.0,88.0,46.0,64.0,100.0,37.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,78000000,78250000,8.0,,,6.0,6.0,10.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,78250000,78500000,79.0,4.0,37.0,71.0,34.0,67.0,71.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,78250000,78500000,52.0,6.0,28.0,38.0,30.0,22.0,30.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,78500000,78750000,112.0,23.0,56.0,88.0,63.0,47.0,70.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,78500000,78750000,20.0,,12.0,16.0,2.0,16.0,20.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,78750000,79000000,44.0,8.0,20.0,42.0,16.0,20.0,26.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,78750000,79000000,61.0,22.0,26.0,69.0,20.0,56.0,59.0,16.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,79000000,79250000,121.0,26.0,41.0,64.0,43.0,76.0,75.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,79000000,79250000,24.0,8.0,12.0,18.0,10.0,20.0,21.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,79250000,79500000,135.0,10.0,63.0,85.0,57.0,69.0,103.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,79250000,79500000,14.0,,6.0,22.0,,14.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,79500000,79750000,157.0,26.0,64.0,118.0,62.0,64.0,93.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,79750000,80000000,95.0,18.0,86.0,93.0,63.0,76.0,71.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,80000000,80250000,116.0,16.0,58.0,90.0,50.0,77.0,95.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,80250000,80500000,114.0,18.0,44.0,77.0,55.0,74.0,90.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,99000000,99250000,135.0,28.0,72.0,91.0,59.0,112.0,115.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,80500000,80750000,80.0,16.0,34.0,67.0,48.0,64.0,64.0,16.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,80750000,81000000,83.0,12.0,23.0,58.0,31.0,56.0,63.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,81000000,81250000,75.0,14.0,35.0,61.0,25.0,38.0,37.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,81250000,81500000,59.0,8.0,21.0,81.0,28.0,42.0,45.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,81500000,81750000,53.0,9.0,40.0,67.0,21.0,44.0,46.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,81750000,82000000,65.0,16.0,49.0,81.0,23.0,35.0,34.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,82000000,82250000,62.0,6.0,37.0,79.0,34.0,39.0,44.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,82250000,82500000,85.0,18.0,33.0,74.0,28.0,69.0,56.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,82750000,83000000,71.0,4.0,36.0,52.0,24.0,39.0,56.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,83000000,83250000,72.0,16.0,48.0,61.0,38.0,54.0,63.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,83250000,83500000,42.0,7.0,15.0,30.0,36.0,42.0,26.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,83250000,83500000,28.0,2.0,12.0,12.0,10.0,24.0,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,83500000,83750000,36.0,8.0,32.0,26.0,16.0,24.0,34.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,83500000,83750000,17.0,4.0,5.0,14.0,15.0,15.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,83750000,84000000,40.0,4.0,24.0,32.0,12.0,27.0,28.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,83750000,84000000,34.0,2.0,7.0,28.0,12.0,7.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,84000000,84250000,82.0,10.0,12.0,58.0,24.0,30.0,38.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,84000000,84250000,14.0,4.0,12.0,13.0,12.0,17.0,14.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,84250000,84500000,76.0,6.0,28.0,40.0,24.0,32.0,40.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,84250000,84500000,30.0,4.0,11.0,26.0,9.0,13.0,17.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,84500000,84750000,50.0,12.0,26.0,42.0,20.0,38.0,22.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,84500000,84750000,17.0,4.0,17.0,27.0,12.0,13.0,21.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,84750000,85000000,74.0,12.0,22.0,32.0,24.0,32.0,18.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,84750000,85000000,18.0,2.0,8.0,18.0,13.0,7.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,85000000,85250000,36.0,12.0,22.0,48.0,12.0,18.0,52.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,85000000,85250000,33.0,9.0,16.0,22.0,13.0,19.0,14.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,85250000,85500000,54.0,10.0,20.0,40.0,28.0,28.0,46.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,85250000,85500000,15.0,4.0,12.0,17.0,7.0,15.0,18.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,85500000,85750000,52.0,12.0,33.0,26.0,16.0,20.0,22.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,85500000,85750000,20.0,3.0,14.0,20.0,16.0,15.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,85750000,86000000,48.0,6.0,34.0,50.0,18.0,30.0,42.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,85750000,86000000,29.0,4.0,14.0,10.0,12.0,26.0,23.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,86000000,86250000,26.0,,16.0,22.0,22.0,12.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,86000000,86250000,44.0,10.0,19.0,44.0,26.0,42.0,33.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,86250000,86500000,104.0,34.0,38.0,67.0,39.0,63.0,77.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,14,86250000,86500000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,86500000,86750000,107.0,8.0,51.0,79.0,72.0,67.0,78.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,86750000,87000000,128.0,16.0,58.0,72.0,60.0,47.0,96.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,87000000,87250000,134.0,25.0,49.0,112.0,42.0,48.0,70.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,87250000,87500000,116.0,18.0,64.0,90.0,43.0,79.0,79.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,87500000,87750000,97.0,14.0,42.0,59.0,47.0,62.0,70.0,15.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,87750000,88000000,74.0,12.0,36.0,68.0,48.0,33.0,55.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,88000000,88250000,82.0,12.0,34.0,67.0,21.0,30.0,49.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,88250000,88500000,81.0,11.0,38.0,68.0,33.0,43.0,57.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,14,88500000,88750000,64.0,12.0,26.0,42.0,34.0,36.0,52.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,14,88750000,89000000,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
